x	zg
0.000586056	1.231140672
0.000976761	0.791277452
0.001367465	0.737460927
0.001758169	-0.04196066
0.002148874	1.27638129
0.002539578	-0.375488366
0.002930282	-1.891141106
0.003320986	1.386999468
0.003711691	-1.945830034
0.004102395	0.201806298
0.004493099	-1.530062646
0.004883804	-2.182109561
0.005274508	0.832672499
0.005665212	0.410392767
0.006055916	-2.00847491
0.006446621	-1.369407378
0.006837325	-0.170376583
0.007228029	-2.416540607
0.007618734	1.361969723
0.008009438	0.514694067
0.008400142	-1.115255647
0.008790846	-2.40136846
0.009181551	-2.304435692
0.009572255	0.814664188
0.009962959	-1.396841374
0.010353664	-1.665365204
0.010744368	-1.33915014
0.011135072	-1.539045703
0.011525777	0.702861449
0.011916481	0.8273388
0.012307185	-2.120568863
0.012697889	-2.23964395
0.013088594	-0.934398866
0.013479298	1.022136368
0.013870002	-0.035923722
0.014260707	0.470141104
0.014651411	0.655800426
0.015042115	1.254880175
0.015432819	-1.219381473
0.015823524	-1.598026718
0.016214228	0.585742311
0.016604932	-0.467218679
0.016995637	0.850750309
0.017386341	0.506882817
0.017777045	-0.323221098
0.018167749	-0.125386477
0.018558454	-1.450501688
0.018949158	-0.922156082
0.019339862	0.763933709
0.019730567	1.137247587
0.020121271	-0.283170927
0.020511975	0.28174779
0.020902679	0.769085032
0.021293384	-2.261760301
0.021684088	1.026710246
0.022074792	-2.179763414
0.022465497	0.527373357
0.022856201	1.060797036
0.023246905	0.697986843
0.023637609	-0.08857368
0.024028314	0.480031599
0.024419018	-2.274198259
0.024809722	0.669878284
0.025200427	0.579670632
0.025591131	-0.85365736
0.025981835	1.073598268
0.026372539	-1.429418109
0.026763244	-0.477020939
0.027153948	0.966507651
0.027544652	-0.451852823
0.027935357	-0.292109286
0.028326061	-2.107904841
0.028716765	1.090822427
0.02910747	-2.403949601
0.029498174	0.660356335
0.029888878	-1.76187339
0.030279582	-2.381449739
0.030670287	0.733313294
0.031060991	-0.61452806
0.031451695	-1.134055917
0.0318424	-0.171120954
0.032233104	0.444966102
0.032623808	-1.00647418
0.033014512	-2.151042917
0.033405217	-1.761750844
0.033795921	-1.74306623
0.034186625	1.215103166
0.03457733	-0.376834295
0.034968034	-2.382434992
0.035358738	0.76842128
0.035749442	0.786352791
0.036140147	-0.775997499
0.036530851	-2.496112093
0.036921555	-1.202734556
0.03731226	1.021553357
0.037702964	-2.466140178
0.038093668	-0.145301228
0.038484372	0.088813561
0.038875077	0.776167874
0.039265781	-2.484981467
0.039656485	-1.730305023
0.04004719	0.299692125
0.040437894	-0.356385127
0.040828598	0.679145576
0.041219302	-1.658405229
0.041610007	-1.654974831
0.042000711	-1.141984003
0.042391415	-1.765020648
0.04278212	0.943915478
0.043172824	0.427627023
0.043563528	0.691605876
0.043954232	-1.830975716
0.044344937	-0.342023068
0.044735641	0.305947787
0.045126345	1.135877909
0.04551705	-0.37599588
0.045907754	-1.226203319
0.046298458	0.172864064
0.046689162	1.330978676
0.047079867	1.045702338
0.047470571	1.299322712
0.047861275	1.47038828
0.04825198	-0.636088164
0.048642684	-1.092552068
0.049033388	0.221364561
0.049424093	-0.345691823
0.049814797	0.99776603
0.050205501	0.426757336
0.050596205	0.901554158
0.05098691	-2.417312496
0.051377614	1.425299934
0.051768318	-1.637003181
0.052159023	1.11179324
0.052549727	-1.751427864
0.052940431	-0.811596249
0.053331135	1.323038433
0.05372184	-0.356876034
0.054112544	-1.81551219
0.054503248	-0.296452679
0.054893953	0.75685807
0.055284657	-2.089485995
0.055675361	1.271225367
0.056066065	0.598493569
0.05645677	0.743184928
0.056847474	1.217212998
0.057238178	-1.394822187
0.057628883	-1.163804966
0.058019587	-0.932289779
0.058410291	0.501544927
0.058800995	-0.652773113
0.0591917	0.490416009
0.059582404	1.020145798
0.059973108	1.214438241
0.060363813	-2.391442724
0.060754517	-2.229769194
0.061145221	-0.515122327
0.061535925	-1.28874882
0.06192663	-2.229254391
0.062317334	-2.112257916
0.062708038	-1.468533294
0.063098743	-1.336562758
0.063489447	0.815160716
0.063880151	1.154805207
0.064270855	-0.660835632
0.06466156	0.606275299
0.065052264	0.947369437
0.065442968	0.355850437
0.065833673	-2.459029722
0.066224377	0.394656188
0.066615081	1.446760323
0.067005786	-1.511610151
0.06739649	0.08605004
0.067787194	0.398827113
0.068177898	-1.198328319
0.068568603	-1.83457447
0.068959307	-0.60296808
0.069350011	-1.412846949
0.069740716	-2.468932079
0.07013142	1.328621813
0.070522124	-0.726380893
0.070912828	0.895633215
0.071303533	1.232636357
0.071694237	1.183220543
0.072084941	-0.712393521
0.072475646	-1.637335071
0.07286635	-0.40121497
0.073257054	-1.762684891
0.073647758	-2.288277293
0.074038463	0.397192585
0.074429167	-0.483257329
0.074819871	0.41727737
0.075210576	-0.002106902
0.07560128	-1.308187751
0.075991984	0.266678221
0.076382688	0.812912989
0.076773393	-1.562120175
0.077164097	-1.993650234
0.077554801	-0.428360766
0.077945506	0.827716003
0.07833621	1.025138966
0.078726914	-0.530551109
0.079117618	0.380948957
0.079508323	-1.642925382
0.079899027	-0.089634559
0.080289731	0.860949698
0.080680436	-2.206298224
0.08107114	1.000591854
0.081461844	-0.030675789
0.081852548	0.199249362
0.082243253	0.36857554
0.082633957	-2.25477895
0.083024661	-0.268178264
0.083415366	-0.699984861
0.08380607	1.34017951
0.084196774	0.978002153
0.084587478	0.61362555
0.084978183	-0.590291233
0.085368887	-2.389871427
0.085759591	-0.299247877
0.086150296	0.075085034
0.086541	0.145872586
0.086931704	1.278830484
0.087322409	1.35181253
0.087713113	-1.989354151
0.088103817	-1.495315854
0.088494521	-0.874667418
0.088885226	0.067273838
0.08927593	1.391573144
0.089666634	-1.016857646
0.090057339	-1.719655858
0.090448043	1.46024275
0.090838747	-0.419830855
0.091229451	0.187263928
0.091620156	-1.07071578
0.09201086	0.128819295
0.092401564	1.058467275
0.092792269	-1.469331911
0.093182973	0.932073465
0.093573677	0.561294687
